"artist";"genre";"original_artist"
"Saxon"                                                                    ;"heavy metal"                 ;"Saxon"
"Karg"                                                                     ;"atmospheric black metal"                 ;"Karg"
"Roy Buchanan"                                                             ;"blues"                       ;"Roy Buchanan"
"VNV Nation"                                                               ;"ebm"                         ;"VNV Nation"
"Pearl Jam"                                                                ;"Grunge"                      ;"Pearl Jam"
"MAE"                                                                      ;"emo"                         ;"MAE"
"Rammstein"                                                                ;"industrial metal"            ;"Rammstein"
"Revolver"                                                                 ;"rock"                    ;"Revolver"
"Metallica & The San Francisco Symphony"                                   ;"thrash metal"                   ;"Metallica & The San Francisco Symphony"
"Guns N' Roses"                                                            ;"hard rock"                   ;"Guns N' Roses"
"Royal Blood"                                                              ;"rock"                        ;"Royal Blood"
"Tiamat"                                                                   ;"Gothic Metal"                ;"Tiamat"
"Joss Stone"                                                               ;"soul"                        ;"Joss Stone"
"The Dandy Warhols"                                                        ;"indie"                       ;"The Dandy Warhols"
"Elisa"                                                                    ;"pop"                     ;"Elisa"
"Flogging Molly"                                                           ;"celtic punk"                       ;"Flogging Molly"
"Blood Axis"                                                               ;"neofolk"                     ;"Blood Axis"
"Dare"                                                                     ;"rock"                         ;"Dare"
"Eels"                                                                     ;"indie"                       ;"Eels"
"The Dubliners"                                                            ;"irish"                       ;"The Dubliners"
"Garbage"                                                                  ;"rock"                        ;"Garbage"
"Lesiëm"                                                                   ;"Gothic"                     ;"Lesiëm"
"Stray Cats"                                                               ;"rockabilly"                  ;"Stray Cats"
"Nick Drake"                                                               ;"folk"                        ;"Nick Drake"
"Satanic Surfers"                                                          ;"punk rock"                   ;"Satanic Surfers"
"Big D And The Kids Table"                                                 ;"ska"                         ;"Big D And The Kids Table"
"Béla Fleck and the Flecktones"                                            ;"jazz"                        ;"Béla Fleck and the Flecktones"
"Fluisteraars"                                                             ;"atmospheric black metal"                 ;"Fluisteraars"
"Dionne Warwick"                                                           ;"soul"                        ;"Dionne Warwick"
"My Chemical Romance"                                                      ;"rock"                        ;"My Chemical Romance"
"Mandragora Scream"                                                        ;"Gothic Metal"                ;"Mandragora Scream"
"Mogwai"                                                                   ;"post-rock"                   ;"Mogwai"
"Days of the New"                                                          ;"Grunge"                      ;"Days of the New"
"Gost"                                                                     ;"synthwave"                   ;"GosT"
"Tribalistas"                                                              ;"pop"                         ;"Tribalistas"
"Explosions in the Sky"                                                    ;"Progressive metal"                   ;"Explosions in the Sky"
"The Kills"                                                                ;"Rock"                 ;"The Kills"
"Sláinte Mhath"                                                            ;"irish"                   ;"Sláinte Mhath"
"N.E.O."                                                                   ;"rapcore"                     ;"N.E.O"
"Goo Goo Dolls"                                                            ;"rock"                        ;"The Goo Goo Dolls"
"The Smashing Pumpkins"                                                    ;"alternative rock"            ;"Smashing Pumpkins"
"Judas Priest"                                                             ;"heavy metal"                 ;"Judas Priest"
"Bayreuth Festival, Tomlinson, Kannen, Barenboim"                          ;"Classical"                   ;"Bayreuth Festival, Tomlinson, Kannen, Barenboim"
"Wolfgang Amadeus Mozart"                                                  ;"Classical"                   ;"Wolfgang Amadeus Mozart"
"Black Label Society"                                                      ;"heavy metal"                 ;"Black Label Society"
"Clap Your Hands Say Yeah"                                                 ;"indie"                       ;"Clap Your Hands Say Yeah"
"16 Horsepower"                                                            ;"Alt-country"                 ;"16 Horsepower"
"No Children"                                                              ;"punk rock"                   ;"No Children"
"Hanzel und Gretyl"                                                        ;"industrial metal"            ;"Hanzel und Gretyl"
"Walk the Moon"                                                            ;"indie"                  ;"Walk the Moon"
"Amesoeurs"                                                                ;"atmospheric black metal"                 ;"Amesoeurs"
"Robbie Williams"                                                          ;"pop"                         ;"Robbie Williams"
"George Thorogood"                                                         ;"classic rock"                  ;"George Thorogood"
"Weather Report"                                                           ;"jazz"                        ;"Weather Report"
"Seagull Orchestra"                                                        ;"ambient"                     ;"Seagull Orchestra"
"Bryan Adams"                                                              ;"rock"                        ;"Bryan Adams"
"Cadaveria"                                                                ;"black metal"                 ;"Cadaveria"
"Assemblage 23"                                                            ;"ebm"                         ;"Assemblage 23"
"The Chieftains"                                                           ;"celtic"                      ;"The Chieftains"
"Mega Drive"                                                               ;"synthwave"                   ;"Mega Drive"
"Wolfmother"                                                               ;"classic rock"                        ;"Wolfmother"
"Violet Cold"                                                              ;"Post-Black Metal"            ;"Violet Cold"
"Lorde"                                                                    ;"pop"                         ;"Lorde"
"Bad Religion"                                                             ;"punk"                        ;"Bad Religion"
"Franz Ferdinand"                                                          ;"indie"                       ;"Franz Ferdinand"
"Goo Goo Dolls"                                                            ;"rock"                        ;"Goo Goo Dolls"
"MD.45"                                                                    ;"thrash metal"                ;"MD.45"
"Evanescence"                                                              ;"rock"                        ;"Evanescence"
"Red Hot Chili Peppers"                                                    ;"rock"                        ;"Red Hot Chili Peppers"
"Samiam"                                                                   ;"rock"                         ;"Samiam"
"The Keltics"                                                              ;"irish"                       ;"The Keltics"
"Erdling"                                                                  ;"industrial metal"            ;"Erdling"
"The Undertones"                                                           ;"punk"                        ;"The Undertones"
"Anthrax"                                                                  ;"thrash metal"                ;"Anthrax"
"Handful of Hate"                                                          ;"black metal"                 ;"Handful of Hate"
"Alberto Cereijo"                                                          ;"metal"                       ;"Alberto Cereijo"
"Black Sabbath"                                                            ;"heavy metal"                 ;"Black Sabbath"
"Hekate"                                                                   ;"neofolk"                     ;"Hekate"
"Nitzer Ebb"                                                               ;"ebm"                         ;"Nitzer Ebb"
"The Dead 60s"                                                             ;"indie"                       ;"The Dead 60s"
"Trna"                                                                     ;"Post-Black Metal"            ;"Trna"
"Erik Satie"                                                               ;"Classical"                   ;"Erik Satie"
"Talking Heads"                                                            ;"new wave"                    ;"Talking Heads"
"TTC"                                                                      ;"Hip-Hop"                     ;"TTC"
"Suicide Commando"                                                         ;"ebm"                         ;"Suicide Commando"
"Green Day"                                                                ;"punk rock"                   ;"Green Day"
"Vampiria"                                                                 ;"Gothic Metal"                ;"Vampiria"
"30 Seconds to Mars"                                                       ;"alternative rock"            ;"30 Seconds to Mars"
"A Perfect Circle"                                                         ;"alternative rock"            ;"A Perfect Circle"
"Blur"                                                                     ;"britpop"                     ;"Blur"
"Skyforest"                                                                ;"atmospheric black metal"     ;"Skyforest"
"Hedtrip"                                                                  ;"alternative rock"            ;"Hedtrip"
"Beastie Boys"                                                             ;"Hip-Hop"                     ;"Beastie Boys"
"Spiritual Front"                                                          ;"neofolk"                     ;"Spiritual Front"
"Obsidian Kingdom"                                                         ;"Black metal"           ;"Obsidian Kingdom"
"Anorexia Nervosa"                                                         ;"Black Metal"       ;"Anorexia Nervosa"
"Moonspell"                                                                ;"Gothic Metal"                ;"Moonspell"
"John Mayall & The Bluesbreakers"                                          ;"blues"                       ;"John Mayall & The Bluesbreakers"
"Dawn of Tears"                                                            ;"Melodic Death Metal"         ;"Dawn of Tears"
"Mecano"                                                                   ;"pop"                         ;"Mecano"
"Drudkh"                                                                   ;"black metal"                 ;"Drudkh"
"Van Morrison & The Chieftains"                                            ;"folk"                        ;"Van Morrison & The Chieftains"
"The Raconteurs"                                                           ;"rock"                        ;"The Raconteurs"
"Siebenbürgen"                                                             ;"black metal"                 ;"Siebenbürgen"
"Wardrum"                                                                  ;"Power metal"                 ;"Wardrum"
"Goethes Erben"                                                            ;"Gothic"                      ;"Goethes Erben"
"Organisation"                                                             ;"krautrock"                   ;"Organisation"
"Burzum"                                                                   ;"black metal"                 ;"Burzum"
"Josh Rouse"                                                               ;"pop"           ;"Josh Rouse"
"Stratovarius"                                                             ;"Power metal"                 ;"Stratovarius"
"Tool"                                                                     ;"Progressive metal"           ;"Tool"
"The Count"                                                                ;"gothic rock"                      ;"The Count"
"Regarde Les Hommes Tomber"                                                ;"Post-Black Metal"            ;"Regarde Les Hommes Tomber"
"I Mother Earth"                                                           ;"alternative rock"                    ;"I Mother Earth"
"Tribulation"                                                              ;"death metal"                 ;"Tribulation"
"møl"                                                                      ;"Post-Black Metal"            ;"MØL"
"Alice Cooper"                                                             ;"hard rock"                   ;"Alice Cooper"
"Alice in Chains"                                                          ;"Grunge"                      ;"Alice in Chains"
"Herbie Hancock"                                                           ;"funk"                        ;"Herbie Hancock"
"Helloween"                                                                ;"Power metal"                 ;"Helloween"
"The Kovenant"                                                             ;"industrial metal"            ;"The Kovenant"
"Leaves' Eyes"                                                             ;"Gothic Metal"                ;"Leaves' Eyes"
"Aes Dana"                                                                 ;"Black metal"                     ;"Aes Dana"
"Naio Ssaion"                                                              ;"industrial metal"        ;"Naio Ssaion"
"Kavinsky"                                                                 ;"synthwave"                  ;"Kavinsky"
"John Petrucci"                                                            ;"Progressive metal"           ;"John Petrucci"
"Pink"                                                                     ;"pop"                         ;"Pink"
"The Strokes"                                                              ;"indie"                  ;"The Strokes"
"Kid Loco"                                                                 ;"trip-hop"                    ;"Kid Loco"
"The Afters"                                                               ;"christian rock"              ;"The Afters"
"Medusa's Spell"                                                           ;"neofolk"                     ;"Medusa's Spell"
"Daft Punk"                                                                ;"electronic"                  ;"Daft Punk"
"Santana"                                                                  ;"rock"                        ;"Santana"
"Sung"                                                                     ;"synthwave"                   ;"Sung"
